step,timestamp,action,price,shares,symbol,reward,transaction_cost,slippage,time_penalty,status
608,2023-07-03 08:38:16.388548412,SELL,193.79,1.5358066680824003e-13,AAPL,-0.3166101572118465,0.14826615721184652,0.0,0.168344,filled
609,2023-07-03 08:38:16.388548412,SELL,193.79,1.9227289314921124e-13,AAPL,-0.26211575134200704,0.09377175134200703,0.0,0.168344,filled
610,2023-07-03 08:38:32.024035309,SELL,193.79,5.937519580052048e-14,AAPL,-0.21110487567100353,0.04688587567100352,0.0,0.164219,filled
611,2023-07-03 08:38:54.199699896,SELL,193.79,2.1561851806423837e-13,AAPL,-0.43046556503068756,0.2652265650306876,0.0,0.165239,filled
612,2023-07-03 08:39:01.583143091,SELL,193.78,1.8114549730153678e-13,AAPL,-0.27824675134201726,0.09377175134200703,0.020000000000010232,0.164475,filled
613,2023-07-03 08:39:01.583174339,SELL,193.78,6.86953680113353e-14,AAPL,-0.5025094803485408,0.31799548034853065,0.020000000000010232,0.164514,filled
614,2023-07-03 08:39:02.500669010,SELL,193.79,2.329494550516838e-13,AAPL,-0.6904974681078768,0.4961934681078757,0.030000000000001137,0.164304,filled
615,2023-07-03 08:39:06.801180233,SELL,193.79,2.4384580162940254e-13,AAPL,-0.706022519937581,0.5114645199375799,0.030000000000001137,0.164558,filled
616,2023-07-03 08:39:16.769794588,SELL,193.79,6.508849368591007e-14,AAPL,-0.3007330051849686,0.10484000518496742,0.030000000000001137,0.165893,filled
617,2023-07-03 08:39:16.769794588,SELL,193.79,1.1037858327659651e-13,AAPL,-0.562083395264056,0.3661903952640549,0.030000000000001137,0.165893,filled
618,2023-07-03 08:39:44.650542125,SELL,193.76,2.2177024902792103e-13,AAPL,-0.2819354715375304,0.11484647153753044,0.0,0.167089,filled
619,2023-07-03 08:39:44.650542125,SELL,193.75,2.1050067299603097e-13,AAPL,-0.23339564125767187,0.0663066412576719,0.0,0.167089,filled
620,2023-07-03 08:39:44.650542125,SELL,193.75,9.19922932226162e-14,AAPL,-0.5086222062883504,0.3315332062883595,0.009999999999990905,0.167089,filled
